Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BrokenToString.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,,,,1,,0,0,0,1,,13,,,,1,,,,7,,,4,1,5,,,,,,,2,4,3,,,1,,,,,,,,1,1,1,1,,,0,,,,"0.71",1,1,1,1
File,"CDL.java",4,3,5,2,22,0,15,7,,,,,1,10,0,10,,10,0,0,,,,10,,0,1,0,9,,267,,,,13,,,,153,,,35,96,101,,,,,,,76,106,34,,,88,,,,,,,,11,8,14,7,,,5,,,,"0.66",42,39,58,28
File,"CDLTest.java",1,1,1,1,13,0,8,3,,,,,1,0,0,18,,18,18,2,,,,18,,0,0,0,18,,304,,,,34,,,,184,,,83,116,86,,,,,,,86,110,63,,,71,,,,,,,,2,2,2,1,,,1,,,,"0.47",23,23,23,18
File,"Cookie.java",6,6,9,2,45,2,28,15,,,,,1,4,0,4,,4,0,0,,,,4,,0,0,0,4,,204,,,,17,,,,116,,,23,80,71,,,,,,,60,89,27,,,73,,,,,,,,11,11,14,5,,,3,,,,"0.61",26,26,36,8
File,"CookieList.java",3,3,3,1,25,0,14,11,,,,,1,2,0,2,,2,0,0,,,,2,,0,0,0,2,,66,,,,4,,,,31,,,10,20,31,,,,,,,17,25,11,,,19,,,,,,,,4,4,4,1,,,3,,,,"1.00",6,6,6,2
File,"CookieListTest.java",1,1,1,1,16,0,11,4,,,,,1,0,0,9,,9,9,0,,,,9,,0,0,0,9,,190,,,,16,,,,113,,,50,74,61,,,,,,,61,72,38,,,48,,,,,,,,2,2,2,1,,,1,,,,"0.54",10,10,10,9
File,"CookieTest.java",1,1,1,1,18,0,13,5,,,,,1,0,0,11,,11,11,0,,,,11,,0,0,0,11,,242,,,,15,,,,149,,,68,100,78,,,,,,,59,74,50,,,40,,,,,,,,2,2,2,1,,,1,,,,"0.52",14,14,14,11
File,"EnumTest.java",1,1,1,1,49,7,30,11,,,,,1,0,0,8,,8,8,0,,,,8,,0,0,0,8,,433,,,,75,,,,261,,,79,218,97,,,,,,,226,237,70,,,194,,,,,,,,3,3,3,1,,,1,,,,"0.37",10,10,10,8
File,"ExceptionalBean.java",1,1,1,1,6,0,3,3,,,,,2,0,0,6,,6,6,0,,,,6,,0,0,0,6,,66,,,,8,,,,27,,,13,6,31,,,,,,,10,18,12,,,6,,,,,,,,1,1,1,1,,,0,,,,"1.15",6,6,6,6
File,"Fraction.java",1,1,1,1,10,0,7,3,,,,,1,0,1,13,,13,13,3,,,,13,,0,0,0,13,,180,,,,22,,,,103,,,37,49,56,,,,,,,45,69,29,,,42,,,,,,,,6,6,7,4,,,1,,,,"0.54",24,24,25,18
File,"GenericBean.java",1,1,1,1,4,0,4,0,,,,,1,0,0,10,,10,10,3,,,,10,,0,0,0,10,,79,,,,13,,,,47,,,23,13,19,,,,,,,18,29,16,,,13,,,,,,,,1,1,1,1,,,0,,,,"0.40",10,10,10,10
File,"GenericBeanInt.java",1,1,1,1,6,0,3,3,,,,,1,0,0,7,,7,7,1,,,,7,,0,0,0,7,,69,,,,9,,,,26,,,11,8,34,,,,,,,9,17,10,,,7,,,,,,,,1,1,1,1,,,0,,,,"1.31",7,7,7,7
File,"HTTP.java",4,4,7,1,60,4,28,28,,,,,1,2,1,2,,2,0,0,,,,2,,0,0,0,2,,142,,,,15,,,,62,,,12,48,65,,,,,,,41,51,13,,,43,,,,,,,,5,5,12,1,,,2,,,,"1.05",8,8,15,2
File,"HTTPTest.java",1,1,1,1,19,0,13,5,,,,,1,0,0,9,,9,9,0,,,,9,,0,0,0,9,,200,,,,14,,,,131,,,68,87,57,,,,,,,57,68,49,,,38,,,,,,,,2,2,2,1,,,1,,,,"0.44",10,10,10,9
File,"HTTPTokener.java",4,4,5,3,20,0,15,4,,,,,1,0,0,2,,2,2,0,,,,2,,0,0,0,2,,57,,,,5,,,,34,,,7,19,18,,,,,,,19,24,7,,,18,,,,,,,,8,8,10,6,,,3,,,,"0.53",9,9,11,7
File,"Issue537.xml",0,0,0,0,169,0,164,5,,,,,0,,,0,,0,,,,,,,,,,,,,169,0,0,0,0,0,0,0,164,0,0,,,5,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,"0.03",0,0,0,0
File,"Issue593.xml",0,0,0,0,1,0,1,0,,,,,0,,,0,,0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,"0.00",0,0,0,0
File,"JSONArray.java",2,2,2,1,18,0,7,10,,,,,1,1,0,94,,94,93,1,,,,94,,0,4,0,90,,1865,,,,106,,,,714,,,167,410,1045,,,,,,,286,486,167,,,364,,,,,,,,15,15,17,15,,,4,,,,"1.46",205,203,218,138
File,"JSONArrayTest.java",1,1,1,1,32,2,25,4,,,,,2,0,0,39,,39,39,1,,,,39,,0,0,0,39,,1400,,,,142,,,,1037,,,304,841,224,,,,,,,550,618,206,,,518,,,,,,,,9,9,9,1,,,1,,,,"0.22",62,62,71,39
File,"JSONException.java",1,1,1,1,9,0,3,6,,,,,1,0,1,3,,3,3,0,,,,3,,0,0,0,3,,49,,,,6,,,,13,,,6,4,30,,,,,,,5,9,6,,,3,,,,,,,,1,1,1,1,,,0,,,,"2.31",3,3,3,3
File,"JSONML.java",5,5,5,1,37,2,20,14,,,,,1,16,0,16,,16,0,0,,,,16,,0,2,0,14,,646,,,,69,,,,329,,,52,217,248,,,,,,,155,231,42,,,192,,,,,,,,46,46,51,13,,,7,,,,"0.75",81,81,87,28
File,"JSONMLParserConfiguration.java",1,1,1,1,7,0,4,3,,,,,1,0,3,5,,5,5,0,,,,5,,0,0,2,3,,67,,,,8,,,,31,,,16,12,28,,,,,,,10,16,10,,,8,,,,,,,,1,1,1,1,,,0,,,,"0.90",5,5,5,5
File,"JSONMLTest.java",1,1,1,1,27,0,20,6,,,,,1,0,0,32,,32,32,0,,,,32,,0,0,0,32,,989,,,,69,,,,660,,,166,520,274,,,,,,,163,218,112,,,142,,,,,,,,2,2,2,1,,,1,,,,"0.42",54,54,54,32
File,"JSONObject.java",3,2,3,1,21,0,10,10,,,,,2,26,2,122,,122,96,1,,,,122,,6,11,5,100,,2887,,,,170,,,,1321,,,287,825,1396,,,,,,,540,896,279,,,712,,,,,,,,17,16,28,16,,,7,,,,"1.06",376,364,462,240
File,"JSONObjectLocaleTest.java",1,1,1,1,39,3,14,22,,,,,1,0,0,1,,1,1,0,,,,1,,0,0,0,1,,60,,,,8,,,,22,,,12,11,30,,,,,,,17,19,11,,,11,,,,,,,,1,1,1,1,,,0,,,,"1.36",1,1,1,1
File,"JSONObjectNumberTest.java",1,1,1,1,4,0,4,0,,,,,1,1,0,21,,21,20,3,,,,21,,0,0,0,21,,146,,,,26,,,,116,,,59,36,4,,,,,,,38,60,38,,,22,,,,,,,,1,1,1,1,,,0,,,,"0.03",21,21,21,21
File,"JSONObjectTest.java",1,1,1,1,34,1,26,6,,,,,3,0,1,98,,98,98,0,,,,98,,0,0,0,98,,3586,,,,240,,,,2667,,,680,2227,686,,,,,,,1463,1628,523,,,1392,,,,,,,,21,21,21,1,,,3,,,,"0.26",166,166,172,98
File,"JSONPointer.java",2,2,2,1,17,0,9,7,,,,,2,4,1,12,,12,8,2,,,,12,,0,3,0,9,,275,,,,21,,,,134,,,36,80,120,,,,,,,60,95,38,,,63,,,,,,,,9,9,11,3,,,2,,,,"0.90",31,31,33,14
File,"JSONPointerException.java",1,1,1,1,3,0,3,0,,,,,1,0,1,2,,2,2,0,,,,2,,0,0,0,2,,25,,,,5,,,,10,,,5,3,10,,,,,,,4,7,5,,,2,,,,,,,,1,1,1,1,,,0,,,,"1.00",2,2,2,2
File,"JSONPointerTest.java",1,1,1,1,9,0,8,1,,,,,1,0,2,34,,34,34,0,,,,34,,0,1,0,33,,399,,,,44,,,,316,,,126,190,41,,,,,,,127,168,78,,,113,,,,,,,,2,2,2,1,,,1,,,,"0.13",39,39,39,34
File,"JSONPropertyIgnore.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,,,,0,,0,0,0,0,,23,,,,4,,,,10,,,10,0,9,,,,,,,6,7,7,,,0,,,,,,,,0,0,0,0,,,0,,,,"0.90",0,0,0,0
File,"JSONPropertyName.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,,,,1,,1,0,0,0,,27,,,,4,,,,12,,,11,0,11,,,,,,,7,8,8,,,0,,,,,,,,0,0,0,0,,,0,,,,"0.92",0,0,0,0
File,"JSONString.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,,,,1,,0,0,0,1,,23,,,,2,,,,4,,,3,0,17,,,,,,,2,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,"4.25",0,0,0,0
File,"JSONStringTest.java",1,1,1,1,21,3,16,2,,,,,6,0,0,15,,15,15,0,,,,15,,0,0,0,15,,385,,,,71,,,,265,,,81,184,49,,,,,,,151,190,65,,,161,,,,,,,,6,6,6,1,,,2,,,,"0.18",21,21,21,15
File,"JSONStringer.java",1,1,1,1,9,0,3,5,,,,,1,0,0,2,,2,2,0,,,,2,,0,0,0,2,,59,,,,4,,,,11,,,6,2,44,,,,,,,4,7,5,,,2,,,,,,,,2,2,2,1,,,0,,,,"4.00",3,3,3,2
File,"JSONStringerTest.java",1,1,1,1,32,0,27,4,,,,,1,0,0,10,,10,10,0,,,,10,,0,0,0,10,,357,,,,21,,,,286,,,47,240,50,,,,,,,112,130,37,,,112,,,,,,,,2,2,2,1,,,1,,,,"0.17",17,17,17,10
File,"JSONTokener.java",3,3,4,2,19,0,13,6,,,,,1,1,0,23,,23,22,8,,,,23,,0,2,1,20,,527,,,,45,,,,313,,,54,208,170,,,,,,,153,213,53,,,168,,,,,,,,18,7,18,6,,,4,,,,"0.54",84,69,98,47
File,"JSONTokenerTest.java",2,2,2,1,26,1,20,4,,,,,1,0,0,11,,11,11,0,,,,11,,0,3,0,8,,328,,,,26,,,,245,,,57,175,57,,,,,,,163,198,54,,,162,,,,,,,,5,5,5,1,,,2,,,,"0.23",32,32,32,11
File,"JSONWriter.java",3,3,3,1,20,0,11,8,,,,,1,1,1,15,,15,14,5,,,,15,,0,4,0,11,,394,,,,27,,,,185,,,32,114,182,,,,,,,84,129,32,,,98,,,,,,,,12,12,15,11,,,3,,,,"0.98",50,50,58,27
File,"MyBean.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,0,,,,7,,0,0,0,7,,16,,,,2,,,,11,,,10,0,3,,,,,,,9,10,10,,,0,,,,,,,,0,0,0,0,,,0,,,,"0.27",0,0,0,0
File,"MyBeanCustomName.java",1,1,1,1,1,0,1,0,,,,,1,0,0,6,,6,6,0,,,,6,,0,0,0,6,,20,,,,2,,,,15,,,14,6,3,,,,,,,8,15,9,,,6,,,,,,,,1,1,1,1,,,0,,,,"0.20",6,6,6,6
File,"MyBeanCustomNameInterface.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,,,,2,,2,0,0,0,,11,,,,2,,,,9,,,8,0,0,,,,,,,5,6,6,,,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"MyBeanCustomNameSubClass.java",1,1,1,1,2,0,2,0,,,,,1,0,0,7,,7,7,0,,,,7,,0,0,0,7,,32,,,,2,,,,23,,,22,7,7,,,,,,,10,18,11,,,7,,,,,,,,1,1,1,1,,,0,,,,"0.30",7,7,7,7
File,"MyBigNumberBean.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,,,,2,,0,0,0,2,,11,,,,2,,,,6,,,5,0,3,,,,,,,4,5,5,,,0,,,,,,,,0,0,0,0,,,0,,,,"0.50",0,0,0,0
File,"MyEnum.java",0,0,0,0,0,0,0,0,,,,,1,0,0,2,,0,2,3,,,,2,,0,0,0,2,,10,,,,1,,,,6,,,5,0,3,,,,,,,2,2,2,,,0,,,,,,,,0,0,0,0,,,0,,,,"0.50",0,0,0,0
File,"MyEnumClass.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,,,,4,,0,0,0,4,,22,,,,2,,,,17,,,8,4,3,,,,,,,7,12,8,,,4,,,,,,,,1,1,1,1,,,0,,,,"0.18",4,4,4,4
File,"MyEnumField.java",0,0,0,0,2,0,2,0,,,,,1,0,0,6,,4,6,5,,,,6,,0,1,0,5,,28,,,,2,,,,23,,,13,5,3,,,,,,,9,13,8,,,5,,,,,,,,1,1,1,1,,,0,,,,"0.13",4,4,4,4
File,"MyJsonString.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,,,,1,,0,0,0,1,,14,,,,3,,,,8,,,5,1,3,,,,,,,3,5,4,,,1,,,,,,,,1,1,1,1,,,0,,,,"0.38",1,1,1,1
File,"MyLocaleBean.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,2,,,,2,,0,0,0,2,,12,,,,1,,,,11,,,6,4,0,,,,,,,5,8,6,,,2,,,,,,,,1,1,1,1,,,0,,,,"0.00",2,2,2,2
File,"MyNumber.java",1,1,1,1,6,0,6,0,,,,,1,0,1,8,,8,8,1,,,,8,,0,0,0,8,,97,,,,11,,,,57,,,23,25,29,,,,,,,21,36,16,,,21,,,,,,,,7,7,7,7,,,2,,,,"0.51",15,15,15,14
File,"MyNumberContainer.java",1,1,1,1,4,0,1,3,,,,,1,0,0,1,,1,1,1,,,,1,,0,0,0,1,,13,,,,1,,,,5,,,4,2,7,,,,,,,3,5,4,,,2,,,,,,,,1,1,1,1,,,0,,,,"1.40",1,1,1,1
File,"MyPublicClass.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,,,,0,,0,0,0,0,,10,,,,1,,,,6,,,5,2,3,,,,,,,3,4,4,,,0,,,,,,,,0,0,0,0,,,0,,,,"0.50",0,0,0,0
File,"ParserConfiguration.java",1,1,1,1,10,0,5,5,,,,,1,0,2,7,,7,7,2,,,,7,,0,0,2,5,,112,,,,13,,,,43,,,17,21,56,,,,,,,19,28,15,,,15,,,,,,,,2,2,2,1,,,1,,,,"1.30",8,8,8,7
File,"Property.java",3,3,4,1,19,0,11,7,,,,,1,2,0,2,,2,0,0,,,,2,,0,0,0,2,,55,,,,4,,,,28,,,11,14,23,,,,,,,12,21,12,,,14,,,,,,,,4,4,4,1,,,3,,,,"0.82",7,7,8,2
File,"PropertyTest.java",1,1,1,1,15,1,10,3,,,,,1,0,0,5,,5,5,0,,,,5,,0,0,0,5,,102,,,,17,,,,60,,,27,38,25,,,,,,,36,42,22,,,29,,,,,,,,1,1,1,1,,,0,,,,"0.42",5,5,5,5
File,"RecursiveBean.java",1,1,1,1,1,0,1,0,,,,,1,0,0,6,,6,6,3,,,,6,,0,0,0,6,,23,,,,2,,,,16,,,11,8,5,,,,,,,12,19,11,,,8,,,,,,,,1,1,1,1,,,0,,,,"0.31",6,6,6,6
File,"RecursiveBeanEquals.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,2,,,,6,,0,0,0,6,,33,,,,7,,,,25,,,12,6,1,,,,,,,9,16,10,,,6,,,,,,,,1,1,2,1,,,0,,,,"0.04",6,6,7,6
File,"Singleton.java",2,2,2,1,7,0,5,1,,,,,1,1,1,9,,9,8,2,,,,9,,0,1,1,7,,91,,,,10,,,,56,,,20,29,25,,,,,,,24,42,17,,,26,,,,,,,,8,8,8,8,,,2,,,,"0.45",18,18,18,16
File,"SingletonEnum.java",0,0,0,0,4,0,2,2,,,,,1,1,0,8,,6,7,3,,,,8,,0,1,0,7,,62,,,,8,,,,23,,,11,5,31,,,,,,,9,15,10,,,5,,,,,,,,1,1,1,1,,,0,,,,"1.35",6,6,6,6
File,"StringsResourceBundle.java",1,1,1,1,4,0,4,0,,,,,1,0,1,1,,1,1,0,,,,1,,0,0,0,1,,19,,,,2,,,,14,,,11,5,3,,,,,,,4,6,5,,,1,,,,,,,,1,1,1,1,,,0,,,,"0.21",1,1,1,1
File,"Util.java",3,3,4,1,19,0,12,6,,,,,1,9,0,9,,9,0,0,,,,9,,0,1,0,8,,201,,,,14,,,,122,,,37,76,65,,,,,,,49,84,38,,,58,,,,,,,,6,6,7,1,,,2,,,,"0.53",31,31,36,9
File,"WeirdList.java",1,1,1,1,7,0,3,4,,,,,1,0,0,6,,6,6,1,,,,6,,0,0,0,6,,68,,,,8,,,,26,,,13,7,34,,,,,,,11,18,12,,,7,,,,,,,,1,1,1,1,,,0,,,,"1.31",6,6,6,6
File,"XML.java",5,4,6,2,33,1,19,12,,,,,3,24,11,28,,28,4,2,,,,28,,0,7,0,21,,976,,,,78,,,,524,,,84,371,374,,,,,,,242,369,92,,,305,,,,,,,,50,50,56,19,,,8,,,,"0.71",140,136,171,63
File,"XMLConfigurationTest.java",1,1,1,1,26,1,19,5,,,,,1,0,0,40,,40,40,1,,,,40,,0,3,0,37,,1156,,,,111,,,,814,,,322,616,245,,,,,,,348,399,211,,,285,,,,,,,,3,3,3,1,,,2,,,,"0.30",48,48,48,40
File,"XMLParserConfiguration.java",1,1,1,1,13,0,5,8,,,,,1,0,2,17,,17,17,4,,,,17,,0,1,1,15,,306,,,,26,,,,106,,,48,48,174,,,,,,,51,69,36,,,41,,,,,,,,1,1,1,1,,,0,,,,"1.64",17,17,17,17
File,"XMLTest.java",1,1,1,1,21,0,16,3,,,,,8,0,0,58,,58,58,1,,,,58,,0,3,0,55,,1319,,,,111,,,,982,,,336,755,239,,,,,,,401,482,257,,,328,,,,,,,,5,5,5,1,,,4,,,,"0.24",75,75,75,58
File,"XMLTokener.java",9,5,10,6,38,1,27,9,,,,,1,1,1,9,,9,8,0,,,,9,,1,0,0,8,,396,,,,34,,,,264,,,36,187,98,,,,,,,135,170,35,,,141,,,,,,,,28,10,28,16,,,3,,,,"0.37",85,51,91,58
File,"XMLXsiTypeConverter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,,,,1,,1,0,0,0,,46,,,,1,,,,4,,,3,0,41,,,,,,,2,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,"10.25",0,0,0,0
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,,,,0,,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.json",3,2,3,1,21,0,11,10,,,,,28,94,26,,24,,286,25,,,,380,,9,35,11,325,,9494,,,,681,,,,4452,,,971,2779,4362,,,,,,,1990,3062,940,,,2369,,,,,,,,50,50,56,19,,,8,,,,"0.98",1188,1118,1390,700
Public Class,"org.json.CDL",4,3,5,2,22,0,15,7,1,6,4,0,,10,0,,,,0,0,,,,10,22,0,1,0,9,,261,,,,11,,,,152,,,34,96,98,,,,,,,75,105,33,,,88,,,,,,,,11,8,14,7,,1,5,,0,0,"0.64",42,39,58,28
Private Static Method,"org.json.CDL.getValue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,,,0,,,,39,,,5,28,9,,,,8,12,1,21,26,5,,,22,,,11,8,14,7,9,,,,,9,,5,9,,,"0.23",11,8,14,7
Public Static Method,"org.json.CDL.rowToJSONArray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31,,,,0,,,,25,,,4,17,6,,,,8,9,1,13,16,4,,,15,,,7,7,12,7,10,,,,,10,,4,10,,,"0.24",7,7,12,7
Public Static Method,"org.json.CDL.rowToJSONObject",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,,,,0,,,,5,,,3,2,10,,,,3,1,0,2,3,2,,,2,,,2,2,2,1,0,,,,,0,,0,0,,,"2.00",2,2,2,1
Public Static Method,"org.json.CDL.rowToString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,36,,,,0,,,,29,,,6,21,7,,,,11,11,1,16,23,8,,,20,,,7,7,13,1,1,,,,,0,,5,0,,,"0.24",7,7,13,1
Public Static Method,"org.json.CDL.toJSONArray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,,,,0,,,,3,,,1,1,7,,,,3,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Static Method,"org.json.CDL.toJSONArray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,0,,,,3,,,1,1,7,,,,3,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Static Method,"org.json.CDL.toJSONArray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,,,,0,,,,4,,,2,1,8,,,,3,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Static Method,"org.json.CDL.toJSONArray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,,,,0,,,,18,,,4,11,8,,,,5,7,1,9,12,3,,,11,,,5,5,6,5,4,,,,,4,,2,4,,,"0.44",5,5,6,5
Public Static Method,"org.json.CDL.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,18,,,,0,,,,10,,,3,6,8,,,,5,3,0,4,7,3,,,6,,,3,3,3,3,2,,,,,2,,2,2,,,"0.80",3,3,3,3
Public Static Method,"org.json.CDL.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23,,,,0,,,,14,,,4,8,9,,,,8,4,1,7,11,4,,,9,,,4,4,5,1,1,,,,,0,,2,0,,,"0.64",4,4,5,1
Public Class,"org.json.Cookie",6,6,9,2,45,2,28,15,1,8,3,0,,4,0,,,,0,0,,,,4,16,0,0,0,4,,196,,,,14,,,,114,,,21,80,68,,,,,,,58,87,25,,,73,,,,,,,,11,11,14,5,,1,3,,0,0,"0.60",26,26,36,8
Public Static Method,"org.json.Cookie.escape",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,,,,0,,,,17,,,5,12,12,,,,8,3,0,12,15,6,,,12,,,3,3,7,1,1,,,,,0,,2,0,,,"0.71",3,3,7,1
Public Static Method,"org.json.Cookie.toJSONObject",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,64,,,,3,,,,33,,,5,23,28,,,,15,34,2,18,25,5,,,22,,,7,7,8,1,1,,,,,0,,2,0,,,"0.85",7,7,8,1
Public Static Method,"org.json.Cookie.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,61,,,,5,,,,43,,,4,31,13,,,,15,252,2,16,29,6,,,24,,,11,11,14,5,4,,,,,4,,3,3,,,"0.30",11,11,14,5
Public Static Method,"org.json.Cookie.unescape",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,27,,,,0,,,,19,,,6,14,8,,,,7,5,1,12,17,7,,,15,,,5,5,7,1,1,,,,,0,,3,0,,,"0.42",5,5,7,1
Public Class,"org.json.CookieList",3,3,3,1,25,0,14,11,1,6,4,0,,2,0,,,,0,0,,,,2,14,0,0,0,2,,60,,,,2,,,,30,,,9,20,28,,,,,,,16,24,10,,,19,,,,,,,,4,4,4,1,,1,3,,0,0,"0.93",6,6,6,2
Public Static Method,"org.json.CookieList.toJSONObject",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,24,,,,0,,,,11,,,4,8,13,,,,9,2,0,7,9,4,,,8,,,2,2,2,1,0,,,,,0,,1,0,,,"1.18",2,2,2,1
Public Static Method,"org.json.CookieList.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,27,,,,0,,,,17,,,4,12,10,,,,10,4,1,9,14,5,,,11,,,4,4,4,1,0,,,,,0,,3,0,,,"0.59",4,4,4,1
Public Class,"org.json.HTTP",4,4,7,1,60,4,28,28,1,7,4,0,,2,1,,,,0,0,,,,2,14,0,0,0,2,,134,,,,12,,,,60,,,10,48,62,,,,,,,39,49,11,,,43,,,,,,,,5,5,12,1,,1,2,,0,0,"1.03",8,8,15,2
Public Static Method,"org.json.HTTP.toJSONObject",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,66,,,,8,,,,23,,,5,18,35,,,,11,4,1,16,19,5,,,17,,,3,3,3,1,1,,,,,0,,1,0,,,"1.52",3,3,3,1
Public Static Method,"org.json.HTTP.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,55,,,,0,,,,34,,,3,29,21,,,,12,9,1,22,28,4,,,26,,,5,5,12,1,2,,,,,0,,2,0,,,"0.62",5,5,12,1
Public Class,"org.json.HTTPTokener",4,4,5,3,20,0,15,4,1,4,1,0,,0,0,,,,2,0,,,,2,37,0,0,0,2,,51,,,,3,,,,33,,,6,19,15,,,,,,,18,23,6,,,18,,,,,,,,8,8,10,6,,2,3,,0,0,"0.45",9,9,11,7
Public Constructor,"org.json.HTTPTokener.HTTPTokener",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,0,,,,3,,,1,1,4,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"1.33",1,1,1,1
Public Method,"org.json.HTTPTokener.nextToken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,,,,0,,,,28,,,4,18,5,,,,7,14,1,17,20,4,,,17,,,8,8,10,6,6,,,,,6,,3,6,,,"0.18",8,8,10,6
Public Class,"org.json.JSONArray",2,2,2,1,18,0,7,10,2,33,6,0,,1,0,,,,93,1,,,,94,106,0,4,0,90,,1846,,,,102,,,,702,,,155,410,1042,,,,,,,274,474,155,,,364,,,,,,,,15,15,17,15,,1,4,,78,5,"1.48",205,203,218,138
Public Constructor,"org.json.JSONArray.JSONArray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,,,,0,,,,3,,,1,1,3,,,,3,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Constructor,"org.json.JSONArray.JSONArray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,,,,0,,,,8,,,1,5,6,,,,6,2,0,3,5,1,,,4,,,2,2,2,1,1,,,,,0,,1,0,,,"0.75",2,2,2,1
