Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Static Method,"org.json.XML.parse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,222,,,,17,,,,170,,,10,131,35,,,,32,116,2,74,117,9,,,108,,,50,50,56,19,55,,,,,41,,8,39,,,"0.21",50,50,56,19
Private Static Method,"org.json.XML.stringToNumber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,62,,,,1,,,,45,,,8,32,16,,,,17,35,2,18,31,8,,,30,,,13,13,22,8,16,,,,,15,,5,15,,,"0.36",13,13,22,8
Public Static Method,"org.json.XML.stringToValue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,36,,,,3,,,,22,,,2,14,11,,,,5,7,1,7,14,2,,,13,,,7,7,9,7,6,,,,,6,,2,6,,,"0.50",7,7,9,7
Public Static Method,"org.json.XML.stringToValue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,,,,0,,,,6,,,1,3,6,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,"1.00",2,2,2,1
Public Static Method,"org.json.XML.toJSONObject",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,,,,0,,,,3,,,1,1,17,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"5.67",1,1,1,1
Public Static Method,"org.json.XML.toJSONObject",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,19,,,,0,,,,3,,,1,1,16,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"5.33",1,1,1,1
Public Static Method,"org.json.XML.toJSONObject",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,27,,,,0,,,,6,,,1,3,21,,,,2,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,"3.50",2,2,2,1
Public Static Method,"org.json.XML.toJSONObject",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31,,,,0,,,,11,,,3,7,20,,,,6,3,0,5,8,3,,,7,,,3,3,3,1,0,,,,,0,,2,0,,,"1.82",3,3,3,1
Public Static Method,"org.json.XML.toJSONObject",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,25,,,,0,,,,3,,,1,1,22,,,,3,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"7.33",1,1,1,1
Public Static Method,"org.json.XML.toJSONObject",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,24,,,,0,,,,3,,,1,1,21,,,,3,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"7.00",1,1,1,1
